,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_name,track_number,short_album_name,release_date,album_cover,duration_seconds,track1,last_track
72,0.488,0.539,9,-8.752,1,0.0304,0.136,0.0,0.0538,0.473,115.941,4,You Won't See Me ,3,Rubber Soul,1965-12-03,https://i.scdn.co/image/ab67616d0000b273ed801e58a9ababdea6ac7ce4,199.96,0,0
186,0.88,0.556,2,-10.773,1,0.0855,0.24,0.0483,0.24,0.955,128.542,4,For You Blue ,11,Let It Be,1970-05-08,https://i.scdn.co/image/ab67616d0000b27384243a01af3c77b56fe01ab1,152.213,0,0
165,0.626,0.512,1,-9.15,0,0.0247,0.155,4.65e-05,0.215,0.73,92.225,4,Octopus's Garden ,5,Abbey Road,1969-09-26,https://i.scdn.co/image/ab67616d0000b273dc30583ba717007b00cceb25,170.72,0,0
189,0.726,0.702,7,-10.757,1,0.032,0.0974,3.46e-05,0.239,0.931,109.114,4,Two Of Us ,1,Let It Be,1970-05-08,https://i.scdn.co/image/ab67616d0000b27384243a01af3c77b56fe01ab1,216.813,1,0
172,0.474,0.939,11,-8.884,0,0.199,0.00472,0.674,0.19,0.499,166.829,4,Polythene Pam ,12,Abbey Road,1969-09-26,https://i.scdn.co/image/ab67616d0000b273dc30583ba717007b00cceb25,72.64,0,0
162,0.396,0.338,0,-10.872,1,0.0304,0.198,2.62e-06,0.138,0.377,133.522,4,Something ,2,Abbey Road,1969-09-26,https://i.scdn.co/image/ab67616d0000b273dc30583ba717007b00cceb25,182.293,0,0
51,0.533,0.668,7,-7.237,1,0.033,0.451,0.0,0.149,0.889,95.438,4,I Don't Want To Spoil The Party ,12,Beatles For Sale,1964-12-04,https://i.scdn.co/image/ab67616d0000b27355612ece447bec5d62c68375,154.467,0,0
3,0.608,0.565,2,-11.06,1,0.0336,0.635,0.0,0.0601,0.835,109.286,4,Anna (Go To Him) ,3,Please Please Me,1963-03-22,https://i.scdn.co/image/ab67616d0000b273dbeec63ad914c973e75c24df,177.133,0,0
44,0.457,0.917,9,-6.213,1,0.0441,0.566,0.0,0.333,0.965,167.092,4,Rock And Roll Music ,4,Beatles For Sale,1964-12-04,https://i.scdn.co/image/ab67616d0000b27355612ece447bec5d62c68375,151.28,0,0
167,0.557,0.54,9,-10.484,1,0.0347,0.0339,0.00248,0.179,0.394,129.171,4,Here Comes The Sun ,7,Abbey Road,1969-09-26,https://i.scdn.co/image/ab67616d0000b273dc30583ba717007b00cceb25,185.733,0,0
141,0.589,0.522,2,-8.718,1,0.0521,0.53,0.000243,0.0993,0.957,187.688,4,Why Don't We Do It In The Road? ,15,The Beatles,1968-11-22,https://i.scdn.co/image/ab67616d0000b2734ce8b4e42588bf18182a1ad2,101.16,0,0
143,0.512,0.0953,2,-16.082,1,0.0304,0.828,0.000268,0.117,0.193,134.706,4,Julia ,17,The Beatles,1968-11-22,https://i.scdn.co/image/ab67616d0000b2734ce8b4e42588bf18182a1ad2,176.667,0,1
166,0.37,0.515,2,-9.487,0,0.0321,0.0233,0.205,0.0966,0.42,115.732,4,I Want You (She's So Heavy) ,6,Abbey Road,1969-09-26,https://i.scdn.co/image/ab67616d0000b273dc30583ba717007b00cceb25,467.32,0,0
102,0.405,0.644,0,-7.115,0,0.0495,0.503,0.0,0.0681,0.52,111.667,4,Fixing A Hole ,5,Sgt. Pepper's Lonely Hearts Club Band,1967-06-01,https://i.scdn.co/image/ab67616d0000b27348eeac769c253bfc05a0d1fc,157.96,0,0
151,0.587,0.617,7,-9.164,1,0.028,0.0197,0.639,0.199,0.947,100.495,4,Hey Bulldog ,4,Yellow Submarine,1969-01-17,https://i.scdn.co/image/ab67616d0000b273d283808926ad3d2220e63c1c,191.307,0,0
93,0.555,0.65,4,-6.936,1,0.0282,0.0067,0.0491,0.236,0.966,132.59,4,And Your Bird Can Sing ,9,Revolver,1966-08-05,https://i.scdn.co/image/ab67616d0000b27328b8b9b46428896e6491e97a,120.493,0,0
31,0.658,0.537,6,-7.535,0,0.0307,0.138,0.0,0.0572,0.887,132.115,4,I'm Happy Just To Dance With You ,4,A Hard Day's Night,1964-07-10,https://i.scdn.co/image/ab67616d0000b273e230f303815e82a86713eedd,116.373,0,0
1,0.491,0.801,4,-9.835,1,0.0361,0.27,0.0,0.0665,0.971,160.109,4,I Saw Her Standing There ,1,Please Please Me,1963-03-22,https://i.scdn.co/image/ab67616d0000b273dbeec63ad914c973e75c24df,173.947,1,0
27,0.351,0.749,2,-9.435,1,0.0628,0.289,0.0,0.0952,0.967,160.673,4,Roll Over Beethoven ,8,With The Beatles,1963-11-22,https://i.scdn.co/image/ab67616d0000b273608a63ad5b18e99da94a3f73,165.467,0,0
187,0.761,0.592,2,-9.836,1,0.0586,0.492,0.00626,0.61,0.332,123.095,4,Get Back ,12,Let It Be,1970-05-08,https://i.scdn.co/image/ab67616d0000b27384243a01af3c77b56fe01ab1,189.387,0,1
129,0.388,0.529,7,-10.533,1,0.0436,0.16,0.0681,0.108,0.332,150.721,4,Dear Prudence ,2,The Beatles,1968-11-22,https://i.scdn.co/image/ab67616d0000b2734ce8b4e42588bf18182a1ad2,235.773,0,0
120,0.551,0.395,0,-14.755,1,0.0501,0.368,0.88,0.0932,0.261,92.929,4,Flying ,3,Magical Mystery Tour,1967-11-27,https://i.scdn.co/image/ab67616d0000b273692d9189b2bd75525893f0c1,135.52,0,0
75,0.552,0.487,6,-10.574,0,0.04,0.0175,0.0,0.105,0.657,127.201,4,Wait ,12,Rubber Soul,1965-12-03,https://i.scdn.co/image/ab67616d0000b273ed801e58a9ababdea6ac7ce4,134.72,0,0
13,0.527,0.48,4,-9.61,1,0.028,0.334,0.0,0.0702,0.706,139.388,4,Please Please Me ,7,Please Please Me,1963-03-22,https://i.scdn.co/image/ab67616d0000b273dbeec63ad914c973e75c24df,120.853,0,0
50,0.74,0.49,2,-9.095,1,0.038,0.488,0.0,0.103,0.678,123.227,4,Every Little Thing ,11,Beatles For Sale,1964-12-04,https://i.scdn.co/image/ab67616d0000b27355612ece447bec5d62c68375,123.8,0,0
85,0.604,0.549,1,-9.873,1,0.0389,0.531,0.0,0.438,0.696,111.398,4,Yellow Submarine ,6,Revolver,1966-08-05,https://i.scdn.co/image/ab67616d0000b27328b8b9b46428896e6491e97a,158.88,0,0
69,0.529,0.567,0,-9.796,1,0.0282,0.0124,0.0,0.0729,0.799,130.544,4,Think For Yourself ,5,Rubber Soul,1965-12-03,https://i.scdn.co/image/ab67616d0000b273ed801e58a9ababdea6ac7ce4,138.52,0,0
135,0.431,0.54,9,-9.6,0,0.0589,0.523,1.34e-06,0.169,0.44,139.288,4,Happiness Is A Warm Gun ,8,The Beatles,1968-11-22,https://i.scdn.co/image/ab67616d0000b2734ce8b4e42588bf18182a1ad2,164.547,0,0
111,0.912,0.607,6,-7.957,0,0.122,0.253,0.464,0.152,0.385,111.363,4,With A Little Help From My Friends ,2,Sgt. Pepper's Lonely Hearts Club Band,1967-06-01,https://i.scdn.co/image/ab67616d0000b27348eeac769c253bfc05a0d1fc,196.52,0,0
73,0.534,0.624,4,-9.589,1,0.0462,0.00797,0.0,0.128,0.687,121.402,4,Nowhere Man ,4,Rubber Soul,1965-12-03,https://i.scdn.co/image/ab67616d0000b273ed801e58a9ababdea6ac7ce4,163.693,0,0
159,0.269,0.0902,8,-23.018,0,0.042,0.877,0.821,0.302,0.0462,82.423,4,Pepperland Laid Waste ,12,Yellow Submarine,1969-01-17,https://i.scdn.co/image/ab67616d0000b273d283808926ad3d2220e63c1c,132.773,0,0
14,0.49,0.579,1,-10.301,0,0.0344,0.217,0.0,0.0644,0.879,119.403,4,All I've Got To Do ,2,With The Beatles,1963-11-22,https://i.scdn.co/image/ab67616d0000b273608a63ad5b18e99da94a3f73,122.573,0,0
134,0.453,0.654,4,-8.855,0,0.0317,0.0205,0.00395,0.172,0.702,115.0,4,While My Guitar Gently Weeps ,7,The Beatles,1968-11-22,https://i.scdn.co/image/ab67616d0000b2734ce8b4e42588bf18182a1ad2,285.0,0,0
32,0.767,0.331,1,-10.777,0,0.0337,0.64,0.0,0.0681,0.636,113.312,4,And I Love Her ,5,A Hard Day's Night,1964-07-10,https://i.scdn.co/image/ab67616d0000b273e230f303815e82a86713eedd,149.693,0,0
83,0.391,0.593,5,-8.999,1,0.0413,0.7,0.000249,0.0829,0.707,123.986,4,Love You To ,4,Revolver,1966-08-05,https://i.scdn.co/image/ab67616d0000b27328b8b9b46428896e6491e97a,179.827,0,0
124,0.39,0.502,10,-12.277,1,0.178,0.336,0.000138,0.0713,0.289,97.871,4,Strawberry Fields Forever ,8,Magical Mystery Tour,1967-11-27,https://i.scdn.co/image/ab67616d0000b273692d9189b2bd75525893f0c1,247.32,0,0
88,0.394,0.64,4,-8.992,1,0.0488,0.164,0.139,0.153,0.574,164.626,4,Doctor Robert ,11,Revolver,1966-08-05,https://i.scdn.co/image/ab67616d0000b27328b8b9b46428896e6491e97a,134.267,0,0
158,0.538,0.378,9,-14.117,0,0.0387,0.934,0.758,0.456,0.16,117.185,4,March Of The Meanies ,11,Yellow Submarine,1969-01-17,https://i.scdn.co/image/ab67616d0000b273d283808926ad3d2220e63c1c,139.36,0,0
104,0.246,0.743,9,-5.224,0,0.0526,0.13,0.0,0.19,0.623,83.339,1,Being For The Benefit Of Mr. Kite! ,7,Sgt. Pepper's Lonely Hearts Club Band,1967-06-01,https://i.scdn.co/image/ab67616d0000b27348eeac769c253bfc05a0d1fc,159.20000000000002,0,0
140,0.599,0.537,0,-9.617,1,0.0254,0.594,1.92e-05,0.194,0.946,84.895,4,Don't Pass Me By ,14,The Beatles,1968-11-22,https://i.scdn.co/image/ab67616d0000b2734ce8b4e42588bf18182a1ad2,230.453,0,0
19,0.552,0.644,9,-9.129,1,0.0372,0.675,0.0,0.36,0.961,122.546,4,Please Mister Postman ,7,With The Beatles,1963-11-22,https://i.scdn.co/image/ab67616d0000b273608a63ad5b18e99da94a3f73,154.16,0,0
79,0.688,0.435,9,-11.359,1,0.0323,0.449,0.0,0.113,0.435,103.239,4,In My Life ,11,Rubber Soul,1965-12-03,https://i.scdn.co/image/ab67616d0000b273ed801e58a9ababdea6ac7ce4,146.333,0,0
80,0.492,0.755,9,-9.273,1,0.0331,0.00748,0.0,0.102,0.796,127.387,4,If I Needed Someone ,13,Rubber Soul,1965-12-03,https://i.scdn.co/image/ab67616d0000b273ed801e58a9ababdea6ac7ce4,142.267,0,0
168,0.328,0.249,2,-11.777,1,0.0272,0.754,5.77e-06,0.134,0.162,81.257,4,Because ,8,Abbey Road,1969-09-26,https://i.scdn.co/image/ab67616d0000b273dc30583ba717007b00cceb25,165.667,0,0
65,0.647,0.56,9,-8.809,1,0.0387,0.723,0.0,0.118,0.913,120.418,3,I've Just Seen A Face ,12,Help!,1965-08-06,https://i.scdn.co/image/ab67616d0000b273e3e3b64cea45265469d4cafa,125.04,0,0
144,0.541,0.727,2,-7.509,1,0.0384,7.37e-05,0.717,0.232,0.91,139.239,4,Birthday ,1,The Beatles,1968-11-22,https://i.scdn.co/image/ab67616d0000b2734ce8b4e42588bf18182a1ad2,163.08,1,0
23,0.553,0.914,9,-8.232,1,0.0415,0.477,0.0,0.292,0.683,99.138,4,I Wanna Be Your Man ,11,With The Beatles,1963-11-22,https://i.scdn.co/image/ab67616d0000b273608a63ad5b18e99da94a3f73,119.507,0,0
77,0.699,0.294,5,-13.205,0,0.0294,0.587,0.0,0.117,0.893,96.615,4,Girl ,9,Rubber Soul,1965-12-03,https://i.scdn.co/image/ab67616d0000b273ed801e58a9ababdea6ac7ce4,151.72,0,0
106,0.292,0.545,6,-8.475,1,0.0352,0.325,5.95e-05,0.306,0.365,124.251,4,Within You Without You ,8,Sgt. Pepper's Lonely Hearts Club Band,1967-06-01,https://i.scdn.co/image/ab67616d0000b27348eeac769c253bfc05a0d1fc,307.587,0,0
86,0.329,0.678,3,-7.878,1,0.0344,0.103,0.168,0.843,0.672,106.476,4,She Said She Said ,7,Revolver,1966-08-05,https://i.scdn.co/image/ab67616d0000b27328b8b9b46428896e6491e97a,156.04,0,0
82,0.578,0.29,5,-12.501,0,0.0341,0.652,0.0,0.105,0.666,117.403,4,Michelle ,7,Rubber Soul,1965-12-03,https://i.scdn.co/image/ab67616d0000b273ed801e58a9ababdea6ac7ce4,162.373,0,0
152,0.39,0.781,7,-7.878,1,0.0364,4.3e-05,0.412,0.1,0.199,113.511,4,It's All Too Much ,5,Yellow Submarine,1969-01-17,https://i.scdn.co/image/ab67616d0000b273d283808926ad3d2220e63c1c,385.013,0,0
133,0.621,0.459,0,-10.414,1,0.104,0.224,0.0,0.656,0.648,114.816,4,The Continuing Story Of Bungalow Bill ,6,The Beatles,1968-11-22,https://i.scdn.co/image/ab67616d0000b2734ce8b4e42588bf18182a1ad2,194.16,0,0
16,0.371,0.724,2,-9.792,1,0.0562,0.554,0.0,0.299,0.916,170.377,4,Don't Bother Me ,4,With The Beatles,1963-11-22,https://i.scdn.co/image/ab67616d0000b273608a63ad5b18e99da94a3f73,148.253,0,0
10,0.608,0.494,4,-12.211,0,0.0345,0.778,0.0,0.0926,0.879,112.421,4,Baby It's You ,10,Please Please Me,1963-03-22,https://i.scdn.co/image/ab67616d0000b273dbeec63ad914c973e75c24df,160.52,0,0
56,0.461,0.762,2,-6.727,1,0.0379,0.0537,0.0,0.238,0.632,84.496,4,The Night Before ,2,Help!,1965-08-06,https://i.scdn.co/image/ab67616d0000b273e3e3b64cea45265469d4cafa,154.933,0,0
63,0.555,0.57,7,-7.869,1,0.0302,0.415,0.0,0.191,0.899,88.316,4,You Like Me Too Much ,10,Help!,1965-08-06,https://i.scdn.co/image/ab67616d0000b273e3e3b64cea45265469d4cafa,156.867,0,0
26,0.545,0.853,11,-8.369,0,0.0394,0.425,0.0,0.266,0.923,128.816,1,Money (That's What I Want) ,14,With The Beatles,1963-11-22,https://i.scdn.co/image/ab67616d0000b273608a63ad5b18e99da94a3f73,169.507,0,1
61,0.702,0.447,7,-10.122,1,0.0308,0.366,0.0,0.153,0.944,93.02,4,Act Naturally ,8,Help!,1965-08-06,https://i.scdn.co/image/ab67616d0000b273e3e3b64cea45265469d4cafa,150.373,0,0
20,0.472,0.673,4,-8.853,1,0.0318,0.284,0.0,0.206,0.862,133.117,4,It Won't Be Long ,1,With The Beatles,1963-11-22,https://i.scdn.co/image/ab67616d0000b273608a63ad5b18e99da94a3f73,133.387,1,0
58,0.601,0.489,9,-8.554,1,0.0455,0.277,0.0,0.0988,0.638,136.215,4,I Need You ,4,Help!,1965-08-06,https://i.scdn.co/image/ab67616d0000b273e3e3b64cea45265469d4cafa,148.787,0,0
28,0.59,0.805,0,-6.481,1,0.0371,0.137,0.0,0.0996,0.797,138.514,4,A Hard Day's Night ,1,A Hard Day's Night,1964-07-10,https://i.scdn.co/image/ab67616d0000b273e230f303815e82a86713eedd,154.20000000000002,1,0
101,0.598,0.551,0,-6.909,1,0.0308,0.0913,0.0,0.0958,0.817,121.959,4,Getting Better ,4,Sgt. Pepper's Lonely Hearts Club Band,1967-06-01,https://i.scdn.co/image/ab67616d0000b27348eeac769c253bfc05a0d1fc,167.013,0,0
96,0.469,0.596,7,-8.348,1,0.0749,0.0101,0.0,0.321,0.783,133.586,4,Taxman ,1,Revolver,1966-08-05,https://i.scdn.co/image/ab67616d0000b27328b8b9b46428896e6491e97a,158.853,1,0
78,0.667,0.498,1,-11.027,1,0.0364,0.00772,0.0,0.0481,0.774,85.843,4,I'm Looking Through You ,10,Rubber Soul,1965-12-03,https://i.scdn.co/image/ab67616d0000b273ed801e58a9ababdea6ac7ce4,146.387,0,0
17,0.526,0.858,9,-8.533,1,0.0476,0.292,0.001,0.353,0.886,75.596,4,Little Child ,5,With The Beatles,1963-11-22,https://i.scdn.co/image/ab67616d0000b273608a63ad5b18e99da94a3f73,106.4,0,0
37,0.568,0.793,9,-6.201,0,0.0482,0.384,0.0,0.388,0.64,125.375,4,When I Get Home ,11,A Hard Day's Night,1964-07-10,https://i.scdn.co/image/ab67616d0000b273e230f303815e82a86713eedd,136.64,0,0
94,0.494,0.47,8,-9.599,0,0.0301,0.21,0.0,0.28,0.698,103.477,4,I'm Only Sleeping ,3,Revolver,1966-08-05,https://i.scdn.co/image/ab67616d0000b27328b8b9b46428896e6491e97a,180.32,0,0
156,0.249,0.0994,6,-19.266,0,0.04,0.959,0.926,0.454,0.0357,118.99,3,Sea Of Holes ,9,Yellow Submarine,1969-01-17,https://i.scdn.co/image/ab67616d0000b273d283808926ad3d2220e63c1c,136.693,0,0
87,0.77,0.496,11,-8.45,1,0.0468,0.719,0.0,0.123,0.571,117.331,3,Good Day Sunshine ,8,Revolver,1966-08-05,https://i.scdn.co/image/ab67616d0000b27328b8b9b46428896e6491e97a,129.293,0,0
146,0.608,0.178,2,-17.109,1,0.0264,0.634,0.352,0.166,0.401,84.78,4,Mother Nature's Son ,3,The Beatles,1968-11-22,https://i.scdn.co/image/ab67616d0000b2734ce8b4e42588bf18182a1ad2,168.02700000000002,0,0
33,0.267,0.688,11,-6.309,0,0.0388,0.586,0.0,0.307,0.797,150.942,3,Tell Me Why ,6,A Hard Day's Night,1964-07-10,https://i.scdn.co/image/ab67616d0000b273e230f303815e82a86713eedd,128.693,0,0
35,0.643,0.73,7,-6.859,1,0.0347,0.0917,0.0,0.253,0.96,96.711,4,I'll Cry Instead ,9,A Hard Day's Night,1964-07-10,https://i.scdn.co/image/ab67616d0000b273e230f303815e82a86713eedd,105.987,0,0
136,0.433,0.483,9,-9.422,1,0.175,0.656,2.64e-05,0.539,0.717,68.492,4,I'm So Tired ,10,The Beatles,1968-11-22,https://i.scdn.co/image/ab67616d0000b2734ce8b4e42588bf18182a1ad2,123.493,0,0
137,0.792,0.763,2,-11.185,1,0.0506,0.425,0.627,0.789,0.152,89.9,4,Wild Honey Pie ,5,The Beatles,1968-11-22,https://i.scdn.co/image/ab67616d0000b2734ce8b4e42588bf18182a1ad2,52.973,0,0
97,0.592,0.387,0,-11.451,1,0.0561,0.452,5.23e-06,0.391,0.507,111.097,4,Being For The Benefit Of Mr. Kite! ,7,Sgt. Pepper's Lonely Hearts Club Band,1967-06-01,https://i.scdn.co/image/ab67616d0000b27348eeac769c253bfc05a0d1fc,187.213,0,0
183,0.299,0.329,3,-10.096,1,0.0279,0.756,0.0105,0.0559,0.392,132.282,4,The Long And Winding Road ,10,Let It Be,1970-05-08,https://i.scdn.co/image/ab67616d0000b27384243a01af3c77b56fe01ab1,218.187,0,0
130,0.523,0.51,7,-9.827,0,0.0514,0.0123,8.38e-05,0.108,0.789,120.432,4,Glass Onion ,3,The Beatles,1968-11-22,https://i.scdn.co/image/ab67616d0000b2734ce8b4e42588bf18182a1ad2,137.84,0,0
132,0.472,0.292,10,-11.591,1,0.0321,0.872,0.0007,0.128,0.824,177.624,4,Martha My Dear ,9,The Beatles,1968-11-22,https://i.scdn.co/image/ab67616d0000b2734ce8b4e42588bf18182a1ad2,148.573,0,0
149,0.175,0.731,9,-8.341,1,0.0705,0.000341,0.000751,0.0846,0.801,209.242,4,Only A Northern Song ,2,Yellow Submarine,1969-01-17,https://i.scdn.co/image/ab67616d0000b273d283808926ad3d2220e63c1c,204.493,0,0
42,0.492,0.628,7,-7.813,1,0.0439,0.567,1.07e-06,0.267,0.856,89.877,4,I'm A Loser ,2,Beatles For Sale,1964-12-04,https://i.scdn.co/image/ab67616d0000b27355612ece447bec5d62c68375,150.02700000000002,0,0
46,0.374,0.596,9,-7.666,1,0.0416,0.434,0.0,0.098,0.876,202.97,3,Baby's In Black ,3,Beatles For Sale,1964-12-04,https://i.scdn.co/image/ab67616d0000b27355612ece447bec5d62c68375,124.52,0,0
154,0.354,0.281,7,-12.434,1,0.032,0.661,0.763,0.243,0.367,113.126,4,Pepperland ,7,Yellow Submarine,1969-01-17,https://i.scdn.co/image/ab67616d0000b273d283808926ad3d2220e63c1c,140.733,0,0
7,0.455,0.582,4,-10.009,1,0.0292,0.629,4.22e-06,0.172,0.927,140.928,4,There's A Place ,13,Please Please Me,1963-03-22,https://i.scdn.co/image/ab67616d0000b273dbeec63ad914c973e75c24df,110.493,0,0
112,0.418,0.367,2,-12.36,1,0.0503,0.787,3.45e-05,0.108,0.316,97.058,4,Lucy In The Sky With Diamonds ,3,Sgt. Pepper's Lonely Hearts Club Band,1967-06-01,https://i.scdn.co/image/ab67616d0000b27348eeac769c253bfc05a0d1fc,238.867,0,0
