,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_name,track_number,short_album_name,release_date,album_cover,duration_seconds,track1,last_track
119,0.356,0.26,4,-10.577,0,0.0314,0.913,2.1e-06,0.105,0.49,144.184,4,The Fool On The Hill ,2,Magical Mystery Tour,1967-11-27,https://i.scdn.co/image/ab67616d0000b273692d9189b2bd75525893f0c1,179.107,0,0
66,0.332,0.179,5,-11.83,1,0.0326,0.879,0.0,0.0886,0.315,96.529,4,Yesterday ,13,Help!,1965-08-06,https://i.scdn.co/image/ab67616d0000b273e3e3b64cea45265469d4cafa,125.667,0,0
74,0.59,0.641,0,-9.687,1,0.0416,0.00682,0.0,0.0553,0.792,120.773,4,The Word ,6,Rubber Soul,1965-12-03,https://i.scdn.co/image/ab67616d0000b273ed801e58a9ababdea6ac7ce4,163.107,0,0
29,0.682,0.444,7,-7.689,1,0.0289,0.257,0.0,0.115,0.91,130.704,4,I Should Have Known Better ,2,A Hard Day's Night,1964-07-10,https://i.scdn.co/image/ab67616d0000b273e230f303815e82a86713eedd,163.08,0,0
138,0.542,0.445,8,-9.105,1,0.0303,0.643,0.0,0.516,0.52,93.245,4,Piggies ,12,The Beatles,1968-11-22,https://i.scdn.co/image/ab67616d0000b2734ce8b4e42588bf18182a1ad2,124.267,0,0
70,0.754,0.571,2,-8.547,1,0.0421,0.0173,0.0,0.3,0.82,122.463,4,Drive My Car ,1,Rubber Soul,1965-12-03,https://i.scdn.co/image/ab67616d0000b273ed801e58a9ababdea6ac7ce4,148.893,1,0
4,0.654,0.561,10,-10.551,1,0.0304,0.608,0.0,0.129,0.929,129.884,4,Chains ,4,Please Please Me,1963-03-22,https://i.scdn.co/image/ab67616d0000b273dbeec63ad914c973e75c24df,145.08,0,0
8,0.52,0.829,0,-6.228,1,0.0806,0.386,6.2e-05,0.227,0.744,147.997,4,Love Me Do ,8,Please Please Me,1963-03-22,https://i.scdn.co/image/ab67616d0000b273dbeec63ad914c973e75c24df,141.693,0,0
5,0.402,0.86,4,-10.31,1,0.0504,0.607,0.0,0.736,0.822,142.445,4,Boys ,5,Please Please Me,1963-03-22,https://i.scdn.co/image/ab67616d0000b273dbeec63ad914c973e75c24df,146.44,0,0
131,0.818,0.728,10,-8.331,1,0.0314,0.232,0.0642,0.251,0.975,113.059,4,Ob,4,The Beatles,1968-11-22,https://i.scdn.co/image/ab67616d0000b2734ce8b4e42588bf18182a1ad2,188.96,0,0
188,0.516,0.515,2,-12.035,0,0.215,0.379,0.0,0.103,0.524,169.039,4,Maggie Mae ,7,Let It Be,1970-05-08,https://i.scdn.co/image/ab67616d0000b27384243a01af3c77b56fe01ab1,40.04,0,0
122,0.4,0.48,7,-7.768,1,0.0295,0.346,3.1e-05,0.155,0.653,103.436,4,All You Need Is Love ,11,Magical Mystery Tour,1967-11-27,https://i.scdn.co/image/ab67616d0000b273692d9189b2bd75525893f0c1,230.387,0,1
68,0.519,0.85,9,-6.777,1,0.0678,0.0457,0.0,0.233,0.749,123.419,4,Ticket To Ride ,7,Help!,1965-08-06,https://i.scdn.co/image/ab67616d0000b273e3e3b64cea45265469d4cafa,189.68,0,0
48,0.551,0.533,9,-9.8,1,0.0297,0.323,0.722,0.173,0.85,122.358,4,Words Of Love ,9,Beatles For Sale,1964-12-04,https://i.scdn.co/image/ab67616d0000b27355612ece447bec5d62c68375,124.32,0,0
181,0.54,0.489,5,-12.276,1,0.117,0.659,0.0019,0.457,0.67,157.03,3,Dig It ,5,Let It Be,1970-05-08,https://i.scdn.co/image/ab67616d0000b27384243a01af3c77b56fe01ab1,50.467,0,0
54,0.652,0.583,9,-7.811,1,0.038,0.412,0.0,0.119,0.744,138.134,4,Eight Days A Week ,8,Beatles For Sale,1964-12-04,https://i.scdn.co/image/ab67616d0000b27355612ece447bec5d62c68375,163.6,0,0
184,0.44,0.609,2,-8.824,1,0.0358,0.0715,0.0,0.582,0.364,165.156,4,I've Got A Feeling ,8,Let It Be,1970-05-08,https://i.scdn.co/image/ab67616d0000b27384243a01af3c77b56fe01ab1,217.56,0,0
107,0.511,0.794,2,-6.876,1,0.0887,0.000312,0.0,0.555,0.847,121.517,4,Good Morning Good Morning ,11,Sgt. Pepper's Lonely Hearts Club Band,1967-06-01,https://i.scdn.co/image/ab67616d0000b27348eeac769c253bfc05a0d1fc,154.467,0,0
123,0.479,0.733,0,-8.753,1,0.0256,0.306,2.4e-05,0.414,0.806,99.307,4,"Hello, Goodbye ",7,Magical Mystery Tour,1967-11-27,https://i.scdn.co/image/ab67616d0000b273692d9189b2bd75525893f0c1,208.84,0,0
99,0.643,0.605,4,-6.998,1,0.0295,0.126,0.0,0.262,0.794,112.057,4,With A Little Help From My Friends ,2,Sgt. Pepper's Lonely Hearts Club Band,1967-06-01,https://i.scdn.co/image/ab67616d0000b27348eeac769c253bfc05a0d1fc,165.293,0,0
11,0.673,0.349,4,-12.414,1,0.0368,0.608,0.0,0.38,0.609,124.451,4,Do You Want To Know A Secret ,11,Please Please Me,1963-03-22,https://i.scdn.co/image/ab67616d0000b273dbeec63ad914c973e75c24df,117.013,0,0
157,0.253,0.166,9,-16.624,1,0.0346,0.945,0.862,0.135,0.0489,83.971,3,Sea Of Monsters ,10,Yellow Submarine,1969-01-17,https://i.scdn.co/image/ab67616d0000b273d283808926ad3d2220e63c1c,216.693,0,0
148,0.605,0.536,1,-10.069,1,0.0421,0.518,0.0,0.528,0.688,110.849,4,Yellow Submarine ,1,Yellow Submarine,1969-01-17,https://i.scdn.co/image/ab67616d0000b273d283808926ad3d2220e63c1c,159.72,1,0
116,0.58,0.695,8,-5.49,1,0.0252,0.00624,0.0,0.0857,0.69,86.822,4,Lovely Rita ,10,Sgt. Pepper's Lonely Hearts Club Band,1967-06-01,https://i.scdn.co/image/ab67616d0000b27348eeac769c253bfc05a0d1fc,165.8,0,0
76,0.67,0.776,4,-10.035,1,0.0749,0.0168,3.01e-06,0.0732,0.765,96.93,4,What Goes On ,8,Rubber Soul,1965-12-03,https://i.scdn.co/image/ab67616d0000b273ed801e58a9ababdea6ac7ce4,168.573,0,0
139,0.599,0.363,7,-11.728,1,0.0315,0.333,0.0,0.243,0.648,79.456,4,Rocky Raccoon ,13,The Beatles,1968-11-22,https://i.scdn.co/image/ab67616d0000b2734ce8b4e42588bf18182a1ad2,213.107,0,0
18,0.727,0.338,5,-13.887,1,0.0454,0.79,0.0,0.105,0.646,122.421,4,Till There Was You ,6,With The Beatles,1963-11-22,https://i.scdn.co/image/ab67616d0000b273608a63ad5b18e99da94a3f73,133.507,0,0
150,0.587,0.431,2,-9.495,1,0.0686,0.0722,0.0,0.561,0.778,95.937,4,All Together Now ,3,Yellow Submarine,1969-01-17,https://i.scdn.co/image/ab67616d0000b273d283808926ad3d2220e63c1c,130.893,0,0
25,0.471,0.817,7,-9.999,1,0.0372,0.213,0.0,0.498,0.961,124.848,4,Not A Second Time ,13,With The Beatles,1963-11-22,https://i.scdn.co/image/ab67616d0000b273608a63ad5b18e99da94a3f73,126.827,0,0
91,0.521,0.524,0,-6.136,1,0.0302,0.42,9.27e-06,0.0838,0.711,136.679,4,Got To Get You Into My Life ,13,Revolver,1966-08-05,https://i.scdn.co/image/ab67616d0000b27328b8b9b46428896e6491e97a,149.24,0,0
9,0.635,0.656,2,-8.5,1,0.0291,0.389,0.00127,0.0828,0.77,134.435,4,P.S. I Love You ,9,Please Please Me,1963-03-22,https://i.scdn.co/image/ab67616d0000b273dbeec63ad914c973e75c24df,124.36,0,0
